(0.10370706640210892, 'F-Count-Var-P')
(0.072361344370631409, 'F-Expr-Size')
(0.063036674258664063, 'F-Is-Type-Fun')
(0.040974373768947525, 'F-Count-App-P')
(0.034150509296056127, 'F-Count-(,)-P')
(0.029478262805643213, 'F-Count-Lit-Int-P')
(0.024857617932350438, 'F-Count-Plus-P')
(0.023705123482976171, 'F-Is-App')
(0.021188079734320929, 'F-Is-Type-Fun-C1')
(0.018952470974987947, 'F-Count-Var-C2')
(0.017460022850889503, 'F-Is-Type-float')
(0.016806070842932171, 'F-Count-App-C3')
(0.016156929866802765, 'F-Count-[]-P')
(0.016148291286475377, 'F-Count-::-P')
(0.015459808027921908, 'F-Is-Type-Tuple-P')
(0.015134852210399593, 'F-Is-Var')
(0.01478901486908603, 'F-Is-Type-Var-P')
(0.014761542294538984, 'F-Count-Minus-P')
(0.014610930365147249, 'F-Count-Lit-Int-C1')
(0.014280901749519485, 'F-Count-Lit-String-P')
(0.013283535773260685, 'F-Is-Type-Fun-P')
(0.012522020192483434, 'F-Count-Var-C1')
(0.012308548029081573, 'F-Is-Type-list-P')
(0.01132991388060769, 'F-Count-Eq-P')
(0.0098353538101706803, 'F-Count-App-C2')
(0.0095758313418411439, 'F-Is-Type-expr-C1')
(0.0095393166117475163, 'F-Is-Type-int')
(0.0092148936689060226, 'F-Count-Fun-C1')
(0.0089618480339298222, 'F-Count-(,)-Case-P')
(0.0086275687532205193, 'F-Count-App-C1')
(0.0084911169608953042, 'F-Count-Div-P')
(0.00844795611901605, 'F-Count-Fun-P')
(0.0082926092983063686, 'F-Is-Type-list-C2')
(0.008176760611183562, 'F-Is-Type-int-P')
(0.0075530235046651056, 'F-Is-Type-float-P')
(0.0075324266298748789, 'F-Count-Minus-C2')
(0.0075243584476575604, 'F-Is-Type-Var')
(0.0068454485772163056, 'F-Is-Type-list')
(0.0063613695461739814, 'F-Is-Type-Var-C2')
(0.0063459060624130887, 'F-Count-(,)-C2')
(0.0062550470292696897, 'F-Count-Var-C3')
(0.0062206401152952217, 'F-Is-Type-string-P')
(0.0059777021110069941, 'F-Count-Ite-P')
(0.0059351504053288219, 'F-Is-Type-Tuple')
(0.0058234478027529906, 'F-Is-Type-Fun-C2')
(0.005673289982918747, 'F-Is-Type-Var-C1')
(0.0056581077582111231, 'F-Is-Type-Var-C3')
(0.0055160459397087924, 'F-Is-Type-char-C1')
(0.005468268292101632, 'F-Is-Type-int-C2')
(0.0053598590986641574, 'F-Is-Type-expr-C3')
(0.0053451859906239636, 'F-Count-Gt-P')
(0.0052643720219513936, 'F-Count-Mod-P')
(0.0052526934567926394, 'F-Count-[]-Case-P')
(0.0050721760375961236, 'F-Count-Lit-String-C2')
(0.0049882186997715437, 'F-Is-Type-expr')
(0.0048736215650999077, 'F-Count-Lt-P')
(0.0046474187543430719, 'F-Is-Type-expr-P')
(0.0045690858024275546, 'F-Is-Type-bool')
(0.0044321739290356932, 'F-Count-Lit-Int-C2')
(0.0041638071434361955, 'F-Count-(,)-C1')
(0.0040272161101139719, 'F-Count-::-Case-P')
(0.0039725660023039525, 'F-Is-Type-int-C1')
(0.0039093082496280806, 'F-Is-Type-list-C3')
(0.0038998171709331252, 'F-Is-Type-bool-C2')
(0.0038176338530370754, 'F-Is-Type-string-C2')
(0.0035493083889837195, 'F-Is-Type-string')
(0.003459395002292772, 'F-Count-Lit-Int-C3')
(0.003304371695034784, 'F-Is-Ite')
(0.0029185627909979884, 'F-Is-Type-unit')
(0.0029126286770479455, 'F-Count-Sine-P')
(0.0027675629504168827, 'F-Is-(,)')
